"","question","answer","value","question_number","answer_number"
"226","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","SORRY",3,20,5
"227","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","TICKETTORIDE",3,20,6
"228","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","CARCASSONE",2,20,7
"229","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","DIPLOMACY",2,20,8
"230","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","TRIVIALPURSUIT",2,20,9
"231","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","AGAMEOFTHRONES",1,20,10
"232","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","ARKHAMHORROR",1,20,11
"233","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","CHECKERS",1,20,12
"234","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","CHUTESANDLADDERS",1,20,13
"235","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","CLUE",1,20,14
"236","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","CULTURESANDCUSTOMS",1,20,15
"237","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","DEADOFWINTER",1,20,16
"238","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","FUCKINGMONOPOLY",1,20,17
"239","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","GAK",1,20,18
"240","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","GAMEOFTHRONESTHEBOARDGAME",1,20,19
"241","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","HOUSEONTHEHAUNTEDHILL",1,20,20
"242","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","KIK",1,20,21
"243","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","MICEANDMYSTICS",1,20,22
"244","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","MOSTOFTHEM",1,20,23
"245","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","MUNCHKIN",1,20,24
"246","Name a board game that makes you want to flip a table (╯°□°)╯︵ ┻━┻","PANDEMIC",1,20,25
"247","Name an underwhelming super power.","XRAYVISION",4,9,1
"248","Name an underwhelming super power.","SUPERSMELL",3,9,2
"249","Name an underwhelming super power.","TALKTOFISH",3,9,3
